,taps,spoint,dips,sdips,beeps,sbeeps,spointless,time_concert
2021-10-26 19:14:06.280000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160280.0
2021-10-26 19:14:06.300000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160300.0
2021-10-26 19:14:06.320000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160320.0
2021-10-26 19:14:06.340000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160340.0
2021-10-26 19:14:06.360000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160360.0
2021-10-26 19:14:06.380000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160380.0
2021-10-26 19:14:06.400000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160400.0
2021-10-26 19:14:06.420000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160420.0
2021-10-26 19:14:06.440000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160440.0
2021-10-26 19:14:06.460000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160460.0
2021-10-26 19:14:06.480000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160480.0
2021-10-26 19:14:06.500000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160500.0
2021-10-26 19:14:06.520000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160520.0
2021-10-26 19:14:06.540000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160540.0
2021-10-26 19:14:06.560000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160560.0
2021-10-26 19:14:06.580000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160580.0
2021-10-26 19:14:06.600000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160600.0
2021-10-26 19:14:06.620000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160620.0
2021-10-26 19:14:06.640000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160640.0
2021-10-26 19:14:06.660000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160660.0
2021-10-26 19:14:06.680000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160680.0
2021-10-26 19:14:06.700000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160700.0
2021-10-26 19:14:06.720000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160720.0
2021-10-26 19:14:06.740000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160740.0
2021-10-26 19:14:06.760000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160760.0
2021-10-26 19:14:06.780000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160780.0
2021-10-26 19:14:06.800000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160800.0
2021-10-26 19:14:06.820000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160820.0
2021-10-26 19:14:06.840000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160840.0
2021-10-26 19:14:06.860000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160860.0
2021-10-26 19:14:06.880000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160880.0
2021-10-26 19:14:06.900000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160900.0
2021-10-26 19:14:06.920000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160920.0
2021-10-26 19:14:06.940000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160940.0
2021-10-26 19:14:06.960000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160960.0
2021-10-26 19:14:06.980000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5160980.0
2021-10-26 19:14:07+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161000.0
2021-10-26 19:14:07.020000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161020.0
2021-10-26 19:14:07.040000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161040.0
2021-10-26 19:14:07.060000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161060.0
2021-10-26 19:14:07.080000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161080.0
2021-10-26 19:14:07.100000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161100.0
2021-10-26 19:14:07.120000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161120.0
2021-10-26 19:14:07.140000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161140.0
2021-10-26 19:14:07.160000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161160.0
2021-10-26 19:14:07.180000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161180.0
2021-10-26 19:14:07.200000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161200.0
2021-10-26 19:14:07.220000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161220.0
2021-10-26 19:14:07.240000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161240.0
2021-10-26 19:14:07.260000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161260.0
2021-10-26 19:14:07.280000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161280.0
2021-10-26 19:14:07.300000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161300.0
2021-10-26 19:14:07.320000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161320.0
2021-10-26 19:14:07.340000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161340.0
2021-10-26 19:14:07.360000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161360.0
2021-10-26 19:14:07.380000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161380.0
2021-10-26 19:14:07.400000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161400.0
2021-10-26 19:14:07.420000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161420.0
2021-10-26 19:14:07.440000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161440.0
2021-10-26 19:14:07.460000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161460.0
2021-10-26 19:14:07.480000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161480.0
2021-10-26 19:14:07.500000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161500.0
2021-10-26 19:14:07.520000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161520.0
2021-10-26 19:14:07.540000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161540.0
2021-10-26 19:14:07.560000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161560.0
2021-10-26 19:14:07.580000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161580.0
2021-10-26 19:14:07.600000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161600.0
2021-10-26 19:14:07.620000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161620.0
2021-10-26 19:14:07.640000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161640.0
2021-10-26 19:14:07.660000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161660.0
2021-10-26 19:14:07.680000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161680.0
