,s1_corr0,s1_corr_offset,s1_offset,s2_corr0,s2_corr_offset,s2_offset,devID
19,0.40959283678534075,0.41605832125668313,0.02,0.13372401710834525,,,31f4e1a5-be17-3a37-ee86-1e215ffcb996_deviceMotion.csv
20,0.08013928401762985,0.33437575945356673,0.84,0.2607804976203165,0.3361504962173184,0.8200000000000001,3a82977f-1b44-11d0-04b5-d214deded928_deviceMotion.csv
21,0.12538536154719332,0.28996549308477176,0.88,0.19319704948748034,0.45889170514995836,1.02,3aa57dd8-4d97-a01d-61ff-3139f2f2609b_deviceMotion.csv
22,,,,0.062205521247813145,0.17777140583478762,0.34,3c6f0d0b-57cb-9c6d-ee9d-ca34ed43fa7c_deviceMotion.csv
23,0.10130698296692392,0.13102375612928452,0.56,0.07137005655873849,0.1171837172828133,0.18,3dec18f4-e83c-10a4-58d1-a41c58306e19_deviceMotion.csv
24,0.14346778974619154,0.318214535149547,0.16,0.09158930785873755,0.3822114970796266,0.26,4328cccb-5ccb-0f74-37d8-5053dee5d75b_deviceMotion.csv
25,0.47339479821844827,0.49057091059448243,0.02,0.5237061515344513,0.5952654110201153,0.06,46cd682f-1c28-bbef-1e2d-bd54a9ade9c3_deviceMotion.csv
26,0.13666833091186317,0.20904929714369158,0.14,,,,47bf00fa-1f9b-33e1-038b-0e0f19e96d93_deviceMotion.csv
27,0.014371292450789271,0.09630241159404881,0.44,0.05700021609644805,0.3214606716605098,0.62,49472968-4242-c1b7-98c2-3a5c60c33d39_deviceMotion.csv
28,0.3615102868632845,0.393790400979142,-0.04,0.3268528489661679,0.5249467079140719,0.12,551a3a14-12ed-f489-57f5-3817551bff74_deviceMotion.csv
29,-0.00207293673733472,0.2545156653453254,-2.44,0.013847971781838275,0.2442325568325486,-2.34,55b9d221-9d0d-7576-6461-d88b1293e435_deviceMotion.csv
30,0.2241159400997904,0.2296775243577142,-0.02,0.2008716805772542,0.23009044672052248,0.14,58f72607-481f-4cb5-4e92-2f7e5c2b6e73_deviceMotion.csv
31,0.18061109997058114,0.23478844514467226,0.1,0.16114069295277245,0.23308101838429376,0.22,5fd385c0-0a1d-5008-39cf-9efbbd6f415a_deviceMotion.csv
32,0.07030996570104356,0.13115468979029826,0.14,0.12315155659649704,0.16711164909255227,-0.76,68cd78ff-286c-e9a3-dcfa-af2063147700_deviceMotion.csv
33,0.04463976753741506,,,0.08670660043005415,0.08670660043005415,0.0,69ae0c07-45dc-1a79-b81a-ddb8a020be3c_deviceMotion.csv
34,0.15965055628542724,0.1879024621086893,0.04,0.16051244602027023,0.2455385311407672,0.12,6cfe2eb8-ea15-b8c9-053c-f6645e2d4e25_deviceMotion.csv
35,0.1265622391861156,0.21130650835093562,-0.28,0.05817760140255386,0.21851373262996385,0.2,6fe6188f-9350-28be-5d24-b146f1eb300b_deviceMotion.csv
36,-0.006934277434740744,0.4068369407395266,0.3,0.04519802376013865,0.5705264224722895,0.24,705ea43d-0c54-814c-3d61-64365f99d501_deviceMotion.csv
37,0.1917086254445664,0.37008477766761083,-0.68,0.12024502889501178,0.32459791930413656,-0.56,7406434c-c4d4-8f34-9895-5fb845cb9cb8_deviceMotion.csv
38,0.145876744579894,0.15625386285518436,0.04,0.40657061993905996,0.47795277390420354,0.04,77451c9f-ea66-2d70-21ac-c2c97a049b79_deviceMotion.csv
39,0.17248286040529467,0.18783770399262445,0.06,0.2735511462142881,0.2749456942820532,0.02,77d1745b-a57f-d560-8642-eb1060dd6e1a_deviceMotion.csv
40,0.28192670616496573,0.4441607393802284,0.12,0.24301892892397514,0.38508944349725394,0.14,7a5ae780-d9a2-3236-6c5d-813fabdbca9a_deviceMotion.csv
41,0.0807868076189576,0.3237972139266413,0.9,,,,7aebf51e-258a-b204-b1eb-5512df8e8ff9_deviceMotion.csv
42,0.11638521244417926,0.1334755371124549,0.1,0.0410364000146487,0.1728044867517042,0.16,7f95d7ef-2dae-67c7-090a-96c4873abb36_deviceMotion.csv
43,0.13667262226240517,0.15204987634622033,-0.18,0.1458178132456955,0.25906653860618584,0.14,83ee5aa4-f96e-544d-8910-792b9e97f489_deviceMotion.csv
44,0.10813590722598719,0.1098766809820078,-0.02,0.074688909254954,0.14784521853566765,0.2,8672e7d3-3fcc-d38c-3e3c-4261bc59e44f_deviceMotion.csv
45,0.029843715467361732,0.07210540473628217,0.1,0.09327414232838308,0.21775994278132388,0.12,8717f492-0383-4421-1ff2-5375e6201edd_deviceMotion.csv
46,0.12056503917756106,0.2160756272408221,0.08,0.12408652238692465,0.3815774154318984,0.14,881e7bc9-1dd8-7c3b-9e58-0050948457d8_deviceMotion.csv
47,0.044505790620777315,0.08724013536809086,0.28,0.012975667933630426,0.18580862091201455,0.38,891551b7-70e2-2032-3ea0-3a3335b15901_deviceMotion.csv
48,0.32192613788588265,0.4027686156235301,0.08,0.3688574189612735,0.6602418295145012,0.1,8da7ce5a-e617-5f5d-0880-00fb96112b2c_deviceMotion.csv
49,0.2614575036659746,0.30653360184785433,0.06,,,,9146d494-bdf6-9f1f-b23e-e66a53fb19a3_deviceMotion.csv
50,0.12921712221935847,0.3365642501903186,0.76,0.3169983620546106,0.39068279911082604,0.8,9197305e-476d-1858-10a4-9658a5333b19_deviceMotion.csv
51,0.2858644795402484,0.42457279503636747,-0.1,0.0653057646558188,0.5824511092372073,0.22,966e0736-08a1-e03c-c4c3-b9d976dc992b_deviceMotion.csv
52,0.17530683880490822,0.15807009436074262,0.2,0.17705359378412883,0.2977036372826537,0.28,981035ba-8cf0-6c34-97ca-fbd61266e8bf_deviceMotion.csv
53,,,,0.3109513954273897,0.44661441476871616,0.16,98ae5c8a-1fed-7d15-a922-9cc2bd9da9e0_deviceMotion.csv
