,taps,spoint,dips,sdips,beeps,sbeeps,spointless,time_concert,time
2021-10-26 17:47:41.700000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24300.0,2021-10-26 17:47:41.700000+00:00
2021-10-26 17:47:41.720000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24280.0,2021-10-26 17:47:41.720000+00:00
2021-10-26 17:47:41.740000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24260.0,2021-10-26 17:47:41.740000+00:00
2021-10-26 17:47:41.760000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24240.0,2021-10-26 17:47:41.760000+00:00
2021-10-26 17:47:41.780000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24220.0,2021-10-26 17:47:41.780000+00:00
2021-10-26 17:47:41.800000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24200.0,2021-10-26 17:47:41.800000+00:00
2021-10-26 17:47:41.820000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24180.0,2021-10-26 17:47:41.820000+00:00
2021-10-26 17:47:41.840000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24160.0,2021-10-26 17:47:41.840000+00:00
2021-10-26 17:47:41.860000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24140.0,2021-10-26 17:47:41.860000+00:00
2021-10-26 17:47:41.880000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24120.0,2021-10-26 17:47:41.880000+00:00
2021-10-26 17:47:41.900000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24100.0,2021-10-26 17:47:41.900000+00:00
2021-10-26 17:47:41.920000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24080.0,2021-10-26 17:47:41.920000+00:00
2021-10-26 17:47:41.940000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24060.0,2021-10-26 17:47:41.940000+00:00
2021-10-26 17:47:41.960000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24040.0,2021-10-26 17:47:41.960000+00:00
2021-10-26 17:47:41.980000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24020.0,2021-10-26 17:47:41.980000+00:00
2021-10-26 17:47:42+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24000.0,2021-10-26 17:47:42+00:00
2021-10-26 17:47:42.020000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23980.0,2021-10-26 17:47:42.020000+00:00
